"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2016","15.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2015","14.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2014","14.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2013","14.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2012","13.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2011","13.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2010","13.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2009","13.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2008","12.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2007","12.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2006","12.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2005","11.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2004","11.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2003","11.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2002","11.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2001","10.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","2000","10.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1999","10.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1998","10.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1997","9.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1996","9.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1995","9.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1994","9.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1993","9.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1992","9.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1991","8.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1990","8.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1989","8.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1988","8.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1987","8.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1986","7.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1985","7.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1984","7.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1983","7.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1982","7.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1981","7.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1980","7.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1979","6.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1978","6.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1977","6.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1976","6.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","World","WLD","1975","6.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2016","7.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2015","7.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2014","7.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2013","6.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2012","6.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2011","6.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2010","5.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2009","5.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2008","5.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2007","4.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2006","4.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2005","4.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2004","4.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2003","4.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2002","3.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2001","3.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","2000","3.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1999","3.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1998","3.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1997","2.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1996","2.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1995","2.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1994","2.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1993","2.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1992","2.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1991","2.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1990","1.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1989","1.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1988","1.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1987","1.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1986","1.500","female"
